time_s,request,aux_v,input_v,aux_good,power_enable,pvdd_v,audio_run,efuse_latched
5.17,1,12,48,1,1,48,1,0
5.18,1,12,48,1,1,48,1,0
5.19,1,12,48,1,1,48,1,0
5.2,1,12,48,1,1,48,1,0
5.21,1,12,48,1,1,48,1,0
5.22,1,12,48,1,1,48,1,0
5.23,1,12,48,1,1,48,1,0
5.24,1,12,48,1,1,48,1,0
5.25,1,12,48,1,1,48,1,0
5.26,1,12,48,1,1,48,1,0
5.27,1,12,48,1,1,48,1,0
5.28,1,12,48,1,1,48,1,0
5.29,1,12,48,1,1,48,1,0
5.3,1,12,48,1,1,48,1,0
5.31,1,12,48,1,1,48,1,0
5.32,1,12,48,1,1,48,1,0
5.33,1,12,48,1,1,48,1,0
5.34,1,12,48,1,1,48,1,0
5.35,1,12,48,1,1,48,1,0
5.36,1,12,48,1,1,48,1,0
5.37,1,12,48,1,1,48,1,0
5.38,1,12,48,1,1,48,1,0
5.39,1,12,48,1,1,48,1,0
5.4,1,12,48,1,1,48,1,0
5.41,1,12,48,1,1,48,1,0
5.42,1,12,48,1,1,48,1,0
5.43,1,12,48,1,1,48,1,0
5.44,1,12,48,1,1,48,1,0
5.45,1,12,48,1,1,48,1,0
5.46,1,12,48,1,1,48,1,0
5.47,1,12,48,1,1,48,1,0
5.48,1,12,48,1,1,48,1,0
5.49,1,12,48,1,1,48,1,0
5.5,1,12,48,1,1,48,1,0
5.51,1,12,48,1,1,48,1,0
5.52,1,12,48,1,1,48,1,0
5.53,1,12,48,1,1,48,1,0
5.54,1,12,48,1,1,48,1,0
5.55,1,12,48,1,1,48,1,0
5.56,1,12,48,1,1,48,1,0
5.57,1,12,48,1,1,48,1,0
5.58,1,12,48,1,1,48,1,0
5.59,1,12,48,1,1,48,1,0
5.6,1,12,48,1,1,48,1,0
5.61,1,12,48,1,1,48,1,0
5.62,1,12,48,1,1,48,1,0
5.63,1,12,48,1,1,48,1,0
5.64,1,12,48,1,1,48,1,0
5.65,1,12,48,1,1,48,1,0
5.66,1,12,48,1,1,48,1,0
5.67,1,12,48,1,1,48,1,0
5.68,1,12,48,1,1,48,1,0
5.69,1,12,48,1,1,48,1,0
5.7,1,12,48,1,1,48,1,0
5.71,1,12,48,1,1,48,1,0
5.72,1,12,48,1,1,48,1,0
5.73,1,12,48,1,1,48,1,0
5.74,1,12,48,1,1,48,1,0
5.75,1,12,48,1,1,48,1,0
5.76,1,12,48,1,1,48,1,0
5.77,1,12,48,1,1,48,1,0
5.78,1,12,48,1,1,48,1,0
5.79,1,12,48,1,1,48,1,0
5.8,1,12,48,1,1,48,1,0
5.81,1,12,48,1,1,48,1,0
5.82,1,12,48,1,1,48,1,0
5.83,1,12,48,1,1,48,1,0
5.84,1,12,48,1,1,48,1,0
5.85,1,12,48,1,1,48,1,0
5.86,1,12,48,1,1,48,1,0
5.87,1,12,48,1,1,48,1,0
5.88,1,12,48,1,1,48,1,0
5.89,1,12,48,1,1,48,1,0
5.9,1,12,48,1,1,48,1,0
5.91,1,12,48,1,1,48,1,0
5.92,1,12,48,1,1,48,1,0
5.93,1,12,48,1,1,48,1,0
5.94,1,12,48,1,1,48,1,0
5.95,1,12,48,1,1,48,1,0
5.96,1,12,48,1,1,48,1,0
5.97,1,12,48,1,1,48,1,0
5.98,1,12,48,1,1,48,1,0
5.99,1,12,48,1,1,48,1,0
6.0,1,12,48,1,1,48,1,0
6.01,1,12,48,1,1,47.9768,0,1
6.02,1,12,48,1,1,47.9536,0,1
6.03,1,12,48,1,1,47.9304,0,1
6.04,1,12,48,1,1,47.9072,0,1
6.05,1,12,48,1,1,47.8841,0,1
6.06,1,12,48,1,1,47.8609,0,1
6.07,1,12,48,1,1,47.8378,0,1
6.08,1,12,48,1,1,47.8147,0,1
6.09,1,12,48,1,1,47.7916,0,1
6.1,1,12,48,1,1,47.7685,0,1
6.11,1,12,48,1,1,47.7454,0,1
6.12,1,12,48,1,1,47.7223,0,1
6.13,1,12,48,1,1,47.6992,0,1
6.14,1,12,48,1,1,47.6761,0,1
6.15,1,12,48,1,1,47.6531,0,1
6.16,1,12,48,1,1,47.6301,0,1
6.17,1,12,48,1,1,47.607,0,1
6.18,1,12,48,1,1,47.584,0,1
6.19,1,12,48,1,1,47.561,0,1
6.2,1,12,48,1,1,47.538,0,1
6.21,1,12,48,1,1,47.515,0,1
6.22,1,12,48,1,1,47.4921,0,1
6.23,1,12,48,1,1,47.4691,0,1
6.24,1,12,48,1,1,47.4462,0,1
6.25,1,12,48,1,1,47.4232,0,1
6.26,1,12,48,1,1,47.4003,0,1
6.27,1,12,48,1,1,47.3774,0,1
6.28,1,12,48,1,1,47.3545,0,1
6.29,1,12,48,1,1,47.3316,0,1
6.3,1,12,48,1,1,47.3087,0,1
6.31,1,12,48,1,1,47.2858,0,1
6.32,1,12,48,1,1,47.263,0,1
6.33,1,12,48,1,1,47.2401,0,1
6.34,1,12,48,1,1,47.2173,0,1
6.35,1,12,48,1,1,47.1945,0,1
6.36,1,12,48,1,1,47.1716,0,1
6.37,1,12,48,1,1,47.1488,0,1
6.38,1,12,48,1,1,47.126,0,1
6.39,1,12,48,1,1,47.1033,0,1
6.4,1,12,48,1,1,47.0805,0,1
6.41,1,12,48,1,1,47.0577,0,1
6.42,1,12,48,1,1,47.035,0,1
6.43,1,12,48,1,1,47.0122,0,1
6.44,1,12,48,1,1,46.9895,0,1
6.45,1,12,48,1,1,46.9668,0,1
6.46,1,12,48,1,1,46.9441,0,1
6.47,1,12,48,1,1,46.9214,0,1
6.48,1,12,48,1,1,46.8987,0,1
6.49,1,12,48,1,1,46.876,0,1
6.5,1,12,48,1,1,46.8534,0,1
6.51,1,12,48,1,1,46.8307,0,1
6.52,1,12,48,1,1,46.8081,0,1
6.53,1,12,48,1,1,46.7855,0,1
6.54,1,12,48,1,1,46.7628,0,1
6.55,1,12,48,1,1,46.7402,0,1
6.56,1,12,48,1,1,46.7176,0,1
6.57,1,12,48,1,1,46.695,0,1
6.58,1,12,48,1,1,46.6725,0,1
6.59,1,12,48,1,1,46.6499,0,1
6.6,1,12,48,1,1,46.6274,0,1
6.61,1,12,48,1,1,46.6048,0,1
6.62,1,12,48,1,1,46.5823,0,1
6.63,1,12,48,1,1,46.5598,0,1
6.64,1,12,48,1,1,46.5373,0,1
6.65,1,12,48,1,1,46.5148,0,1
6.66,1,12,48,1,1,46.4923,0,1
6.67,1,12,48,1,1,46.4698,0,1
6.68,1,12,48,1,1,46.4473,0,1
6.69,1,12,48,1,1,46.4249,0,1
6.7,1,12,48,1,1,46.4024,0,1
6.71,1,12,48,1,1,46.38,0,1
6.72,1,12,48,1,1,46.3576,0,1
6.73,1,12,48,1,1,46.3352,0,1
6.74,1,12,48,1,1,46.3128,0,1
6.75,1,12,48,1,1,46.2904,0,1
6.76,1,12,48,1,1,46.268,0,1
6.77,1,12,48,1,1,46.2456,0,1
6.78,1,12,48,1,1,46.2233,0,1
6.79,1,12,48,1,1,46.2009,0,1
6.8,1,12,48,1,1,46.1786,0,1
6.81,1,12,48,1,1,46.1563,0,1
6.82,1,12,48,1,1,46.134,0,1
6.83,1,12,48,1,1,46.1116,0,1
6.84,1,12,48,1,1,46.0894,0,1
6.85,1,12,48,1,1,46.0671,0,1
6.86,1,12,48,1,1,46.0448,0,1
6.87,1,12,48,1,1,46.0225,0,1
6.88,1,12,48,1,1,46.0003,0,1
6.89,1,12,48,1,1,45.9781,0,1
6.9,1,12,48,1,1,45.9558,0,1
6.91,1,12,48,1,1,45.9336,0,1
6.92,1,12,48,1,1,45.9114,0,1
6.93,1,12,48,1,1,45.8892,0,1
6.94,1,12,48,1,1,45.867,0,1
6.95,1,12,48,1,1,45.8449,0,1
6.96,1,12,48,1,1,45.8227,0,1
6.97,1,12,48,1,1,45.8005,0,1
6.98,1,12,48,1,1,45.7784,0,1
6.99,1,12,48,1,1,45.7563,0,1
7.0,0,12,48,0,1,45.7341,0,1
7.01,0,12,48,0,1,45.712,0,1
7.02,0,12,48,0,1,45.6899,0,1
7.03,0,12,48,0,1,45.6678,0,1
7.04,0,12,48,0,1,45.6458,0,1
7.05,0,12,48,0,1,45.6237,0,1
7.06,0,12,48,0,1,45.6016,0,1
7.07,0,12,48,0,0,45.5796,0,0
7.08,0,12,48,0,0,45.5576,0,0
7.09,0,12,48,0,0,45.5355,0,0
7.1,0,12,48,0,0,45.5135,0,0
7.11,0,12,48,0,0,45.4915,0,0
7.12,0,12,48,0,0,45.4695,0,0
7.13,0,12,48,0,0,45.4475,0,0
7.14,0,12,48,0,0,45.4256,0,0
7.15,0,12,48,0,0,45.4036,0,0
7.16,0,12,48,0,0,45.3817,0,0
7.17,0,12,48,0,0,45.3597,0,0
7.18,0,12,48,0,0,45.3378,0,0
7.19,0,12,48,0,0,45.3159,0,0
7.2,0,12,48,0,0,45.294,0,0
7.21,0,12,48,0,0,45.2721,0,0
7.22,0,12,48,0,0,45.2502,0,0
7.23,0,12,48,0,0,45.2283,0,0
7.24,0,12,48,0,0,45.2064,0,0
7.25,0,12,48,0,0,45.1846,0,0
7.26,0,12,48,0,0,45.1627,0,0
7.27,0,12,48,0,0,45.1409,0,0
7.28,0,12,48,0,0,45.1191,0,0
7.29,0,12,48,0,0,45.0973,0,0
7.3,0,12,48,0,0,45.0755,0,0
7.31,0,12,48,0,0,45.0537,0,0
7.32,0,12,48,0,0,45.0319,0,0
7.33,0,12,48,0,0,45.0101,0,0
7.34,0,12,48,0,0,44.9884,0,0
7.35,0,12,48,0,0,44.9666,0,0
7.36,0,12,48,0,0,44.9449,0,0
7.37,0,12,48,0,0,44.9232,0,0
7.38,0,12,48,0,0,44.9014,0,0
7.39,0,12,48,0,0,44.8797,0,0
7.4,0,12,48,0,0,44.858,0,0
7.41,0,12,48,0,0,44.8363,0,0
7.42,0,12,48,0,0,44.8147,0,0
7.43,0,12,48,0,0,44.793,0,0
7.44,0,12,48,0,0,44.7714,0,0
7.45,0,12,48,0,0,44.7497,0,0
7.46,0,12,48,0,0,44.7281,0,0
7.47,0,12,48,0,0,44.7065,0,0
7.48,0,12,48,0,0,44.6848,0,0
7.49,0,12,48,0,0,44.6632,0,0
7.5,0,12,48,0,0,44.6416,0,0
7.51,0,12,48,0,0,44.6201,0,0
7.52,0,12,48,0,0,44.5985,0,0
7.53,0,12,48,0,0,44.5769,0,0
7.54,0,12,48,0,0,44.5554,0,0
7.55,0,12,48,0,0,44.5338,0,0
7.56,0,12,48,0,0,44.5123,0,0
7.57,0,12,48,0,0,44.4908,0,0
7.58,0,12,48,0,0,44.4693,0,0
7.59,0,12,48,0,0,44.4478,0,0
7.6,0,12,48,0,0,44.4263,0,0
7.61,0,12,48,0,0,44.4048,0,0
7.62,0,12,48,0,0,44.3834,0,0
7.63,0,12,48,0,0,44.3619,0,0
7.64,0,12,48,0,0,44.3404,0,0
7.65,0,12,48,0,0,44.319,0,0
7.66,0,12,48,0,0,44.2976,0,0
7.67,0,12,48,0,0,44.2762,0,0
7.68,0,12,48,0,0,44.2548,0,0
7.69,0,12,48,0,0,44.2334,0,0
7.7,0,12,48,0,0,44.212,0,0
7.71,0,12,48,0,0,44.1906,0,0
7.72,0,12,48,0,0,44.1693,0,0
7.73,0,12,48,0,0,44.1479,0,0
7.74,0,12,48,0,0,44.1266,0,0
7.75,0,12,48,0,0,44.1052,0,0
7.76,0,12,48,0,0,44.0839,0,0
7.77,0,12,48,0,0,44.0626,0,0
7.78,0,12,48,0,0,44.0413,0,0
7.79,0,12,48,0,0,44.02,0,0
7.8,0,12,48,0,0,43.9987,0,0
7.81,0,12,48,0,0,43.9774,0,0
7.82,0,12,48,0,0,43.9562,0,0
7.83,0,12,48,0,0,43.9349,0,0
7.84,0,12,48,0,0,43.9137,0,0
7.85,0,12,48,0,0,43.8925,0,0
7.86,0,12,48,0,0,43.8712,0,0
7.87,0,12,48,0,0,43.85,0,0
7.88,0,12,48,0,0,43.8288,0,0
7.89,0,12,48,0,0,43.8076,0,0
7.9,0,12,48,0,0,43.7865,0,0
7.91,0,12,48,0,0,43.7653,0,0
7.92,0,12,48,0,0,43.7441,0,0
7.93,0,12,48,0,0,43.723,0,0
7.94,0,12,48,0,0,43.7019,0,0
7.95,0,12,48,0,0,43.6807,0,0
7.96,0,12,48,0,0,43.6596,0,0
7.97,0,12,48,0,0,43.6385,0,0
7.98,0,12,48,0,0,43.6174,0,0
7.99,0,12,48,0,0,43.5963,0,0
8.0,0,12,48,0,0,43.5752,0,0
8.01,1,12,48,0,0,43.5542,0,0
8.02,1,12,48,1,1,43.5571,0,0
8.03,1,12,48,1,1,43.7756,0,0
8.04,1,12,48,1,1,43.9941,0,0
8.05,1,12,48,1,1,44.2127,0,0
8.06,1,12,48,1,1,44.4312,0,0
8.07,1,12,48,1,1,44.6497,0,0
8.08,1,12,48,1,1,44.8683,0,0
